checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,12.0,existing credits paid back duly till now,car (new),1507.8279,<100 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,46.028336,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
<0 DM,10.434904,critical account,car (used),250.0,>= 1000 DM,1<= < 4 years,4.0,none,2.0,unknown / no property,35.0,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
no account,72.0,critical account,radio/television,4588.89,no savings account,unemployed,4.0,none,4.0,car or other,27.0,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
0 <= <200 DM,4.0,all credits at this bank paid back duly,radio/television,250.0,no savings account,>=7 years,4.0,none,1.0,unknown / no property,33.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,4.0,delay in paying off,furniture/equipment,1386.4163,100 <= <500 DM,<1 years,4.0,none,1.0,car or other,75.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,6.0,critical account,car (new),250.0,<100 DM,>=7 years,4.0,none,1.0,car or other,36.0,none,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
<0 DM,12.0,critical account,car (new),1208.2045,100 <= <500 DM,unemployed,4.0,none,4.0,car or other,51.67585,none,rent,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
<0 DM,24.0,existing credits paid back duly till now,radio/television,7536.3286,100 <= <500 DM,1<= < 4 years,1.0,none,3.0,real estate,47.15958,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,12.0,existing credits paid back duly till now,furniture/equipment,1721.6897,<100 DM,1<= < 4 years,4.0,none,1.0,real estate,55.61421,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,15.0,existing credits paid back duly till now,car (used),1327.511,100 <= <500 DM,1<= < 4 years,4.0,none,2.0,unknown / no property,27.67339,none,rent,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,6.0,critical account,car (new),3270.2188,100 <= <500 DM,1<= < 4 years,2.0,none,3.0,car or other,39.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,18.0,existing credits paid back duly till now,car (used),1377.5641,<100 DM,4<= <7 years,4.0,none,4.0,car or other,75.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,12.0,critical account,furniture/equipment,3569.0432,100 <= <500 DM,>=7 years,4.0,none,4.0,savings agreement/life insurance,30.781391,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,12.0,existing credits paid back duly till now,car (new),3201.5337,<100 DM,>=7 years,4.0,none,3.0,real estate,40.993324,none,rent,1.0,unskilled - resident,1.0,yes,yes,male,married/widowed,1
no account,14.781258,critical account,car (used),250.0,<100 DM,1<= < 4 years,4.0,none,3.0,savings agreement/life insurance,19.0,bank,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
<0 DM,15.0,critical account,others,250.0,no savings account,4<= <7 years,4.0,none,1.0,real estate,44.0,bank,own,2.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
no account,36.0,critical account,radio/television,4086.5337,no savings account,4<= <7 years,4.0,none,2.0,unknown / no property,38.983826,bank,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,18.0,existing credits paid back duly till now,domestic appliances,250.0,>= 1000 DM,>=7 years,3.549705,none,1.0,unknown / no property,36.25902,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
no account,10.480333,delay in paying off,business,250.0,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,28.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,18.0,critical account,furniture/equipment,4805.2153,<100 DM,1<= < 4 years,1.0,none,4.0,car or other,39.193428,none,rent,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,0
no account,12.0,existing credits paid back duly till now,radio/television,1936.406,500 <= < 1000 DM,<1 years,2.0,co-applicant,2.0,savings agreement/life insurance,29.0,none,rent,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
no account,72.0,existing credits paid back duly till now,car (new),8122.567,<100 DM,>=7 years,4.0,none,4.0,car or other,23.985182,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,critical account,business,807.0075,<100 DM,<1 years,4.0,none,1.0,savings agreement/life insurance,25.287142,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,0
no account,6.0,existing credits paid back duly till now,car (used),18424.0,<100 DM,>=7 years,2.0,co-applicant,4.0,car or other,30.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,6.0,delay in paying off,furniture/equipment,2800.068,<100 DM,4<= <7 years,4.0,none,2.0,savings agreement/life insurance,30.087076,bank,rent,1.0,skilled employee / official,1.0,yes,yes,male,married/widowed,0
no account,36.0,existing credits paid back duly till now,radio/television,2924.834,<100 DM,<1 years,2.0,none,2.0,car or other,38.0,none,own,2.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,21.873775,existing credits paid back duly till now,car (used),250.0,500 <= < 1000 DM,1<= < 4 years,4.0,none,2.0,real estate,75.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,4.0,critical account,radio/television,250.0,<100 DM,<1 years,4.0,none,1.0,unknown / no property,49.355484,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,radio/television,2994.566,<100 DM,1<= < 4 years,2.0,none,4.0,car or other,28.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,4.0,delay in paying off,radio/television,1066.8333,<100 DM,unemployed,4.0,none,2.0,real estate,33.64683,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,4.0,critical account,business,250.0,100 <= <500 DM,unemployed,4.0,none,2.0,real estate,35.0,bank,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,car (new),250.0,<100 DM,>=7 years,4.0,none,1.0,car or other,46.0,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,0
<0 DM,4.0,existing credits paid back duly till now,radio/television,1505.089,100 <= <500 DM,<1 years,3.0,none,2.0,unknown / no property,44.0,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,1
no account,4.0,critical account,radio/television,250.0,no savings account,4<= <7 years,4.0,none,1.0,car or other,75.0,none,own,2.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,11.892753,critical account,car (used),9882.845,<100 DM,4<= <7 years,4.0,none,4.0,unknown / no property,31.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,36.0,delay in paying off,radio/television,2142.977,no savings account,1<= < 4 years,4.0,none,1.0,car or other,37.909187,none,rent,2.0,unskilled - resident,1.0,none,yes,female,married/widowed,1
no account,4.0,existing credits paid back duly till now,car (new),250.0,100 <= <500 DM,<1 years,4.0,none,2.0,car or other,75.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,delay in paying off,car (new),2163.2805,<100 DM,1<= < 4 years,2.0,none,2.0,real estate,33.578915,bank,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,0
<0 DM,9.46224,existing credits paid back duly till now,retraining,1316.3486,100 <= <500 DM,>=7 years,4.0,none,4.0,savings agreement/life insurance,75.0,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,0
no account,4.0,critical account,radio/television,4362.59,<100 DM,4<= <7 years,4.0,none,3.0,car or other,50.886555,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,41.760677,no credits taken,car (used),1299.1119,no savings account,>=7 years,4.0,none,3.0,real estate,75.0,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,car (new),4647.036,<100 DM,>=7 years,1.0,none,3.0,savings agreement/life insurance,29.903685,none,for free,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
<0 DM,18.0,existing credits paid back duly till now,car (new),4424.9253,<100 DM,>=7 years,1.0,none,3.0,real estate,44.610275,none,rent,1.0,skilled employee / official,2.0,yes,yes,male,divorced/separated,1
no account,28.130314,existing credits paid back duly till now,radio/television,1248.6339,<100 DM,>=7 years,4.0,none,1.0,car or other,28.0,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,married/widowed,1
>= 200 DM ,24.0,existing credits paid back duly till now,repairs,2145.7952,no savings account,4<= <7 years,4.0,none,1.0,car or other,42.0,none,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,6.0,existing credits paid back duly till now,furniture/equipment,250.0,100 <= <500 DM,4<= <7 years,4.0,none,4.0,car or other,60.066154,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,15.0,delay in paying off,furniture/equipment,2341.5308,<100 DM,1<= < 4 years,2.0,none,4.0,savings agreement/life insurance,32.0,store,own,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,1
no account,8.082026,existing credits paid back duly till now,furniture/equipment,2589.666,500 <= < 1000 DM,1<= < 4 years,4.0,none,3.0,unknown / no property,28.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,married/widowed,1
0 <= <200 DM,4.0,critical account,car (new),250.0,no savings account,4<= <7 years,4.0,none,2.0,car or other,75.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
<0 DM,4.0,delay in paying off,furniture/equipment,2222.7664,no savings account,unemployed,3.0,none,2.0,car or other,32.0,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,18.0,existing credits paid back duly till now,furniture/equipment,18424.0,100 <= <500 DM,1<= < 4 years,3.341257,none,3.0,unknown / no property,26.0,bank,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,12.0,delay in paying off,education,729.4338,100 <= <500 DM,unemployed,4.0,none,4.0,real estate,26.10826,none,for free,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,1
no account,10.0,existing credits paid back duly till now,car (used),1245.0406,<100 DM,4<= <7 years,3.0,none,1.0,car or other,28.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,car (new),2314.3237,<100 DM,<1 years,2.0,none,2.0,savings agreement/life insurance,44.85511,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,6.0,existing credits paid back duly till now,business,1216.1111,no savings account,>=7 years,4.0,none,2.0,unknown / no property,54.757843,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,8.837226,existing credits paid back duly till now,car (used),1524.3802,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,43.29637,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
<0 DM,4.0,critical account,car (new),6367.184,<100 DM,>=7 years,4.0,none,4.0,car or other,38.496998,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,4.0,existing credits paid back duly till now,car (new),3145.2163,100 <= <500 DM,1<= < 4 years,4.0,none,4.0,real estate,30.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,19.458574,critical account,radio/television,2713.8215,100 <= <500 DM,<1 years,4.0,none,1.0,car or other,30.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
<0 DM,48.0,critical account,car (new),18424.0,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,22.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,1846.6538,>= 1000 DM,<1 years,2.0,none,2.4187655,unknown / no property,33.0,bank,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,11.47392,critical account,business,777.5646,<100 DM,4<= <7 years,4.0,none,2.0,savings agreement/life insurance,75.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,12.0,delay in paying off,furniture/equipment,1472.721,100 <= <500 DM,1<= < 4 years,2.0,none,4.0,savings agreement/life insurance,75.0,bank,own,2.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
>= 200 DM ,4.0,critical account,furniture/equipment,1112.9768,<100 DM,1<= < 4 years,2.0,none,4.0,car or other,75.0,none,for free,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,1
no account,15.0,critical account,car (used),822.64795,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,38.033745,bank,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,23.318771,existing credits paid back duly till now,car (new),5330.035,500 <= < 1000 DM,4<= <7 years,1.0,none,2.3736446,real estate,35.14148,none,own,3.0,skilled employee / official,1.0,none,yes,female,married/widowed,1
<0 DM,24.0,critical account,radio/television,18424.0,<100 DM,<1 years,4.0,none,4.0,unknown / no property,19.0,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,36.0,existing credits paid back duly till now,furniture/equipment,1961.797,no savings account,1<= < 4 years,4.0,none,1.0,savings agreement/life insurance,32.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
<0 DM,9.0,existing credits paid back duly till now,furniture/equipment,1655.0697,<100 DM,1<= < 4 years,4.0,none,1.0,car or other,75.0,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,male,divorced/separated,1
no account,72.0,existing credits paid back duly till now,radio/television,18424.0,no savings account,>=7 years,4.0,none,4.0,unknown / no property,51.159626,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,30.0,critical account,radio/television,16928.975,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,4.0,existing credits paid back duly till now,radio/television,260.6469,no savings account,>=7 years,4.0,none,2.0,savings agreement/life insurance,42.0,bank,for free,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
>= 200 DM ,48.0,existing credits paid back duly till now,radio/television,6814.1396,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,36.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
<0 DM,15.0,critical account,retraining,2037.5212,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,32.45032,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,car (new),18424.0,>= 1000 DM,1<= < 4 years,2.0,none,4.0,unknown / no property,19.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,0
<0 DM,12.0,existing credits paid back duly till now,radio/television,3638.7048,<100 DM,>=7 years,4.0,none,4.0,unknown / no property,23.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
no account,23.244108,critical account,furniture/equipment,250.0,<100 DM,4<= <7 years,2.0,none,4.0,real estate,49.17118,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,15.0,critical account,radio/television,250.0,<100 DM,4<= <7 years,4.0,none,4.0,car or other,32.0,store,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,72.0,critical account,furniture/equipment,18424.0,<100 DM,<1 years,3.355968,none,4.0,car or other,32.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,22.870564,delay in paying off,furniture/equipment,1164.2786,500 <= < 1000 DM,1<= < 4 years,4.0,none,4.0,car or other,29.0,none,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,9.0,existing credits paid back duly till now,radio/television,3677.1833,500 <= < 1000 DM,unemployed,3.0,none,2.0,real estate,27.0,store,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
no account,18.0,critical account,radio/television,2368.1624,<100 DM,>=7 years,4.0,none,4.0,car or other,19.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,married/widowed,1
no account,72.0,existing credits paid back duly till now,radio/television,2323.9277,<100 DM,4<= <7 years,4.0,none,4.0,savings agreement/life insurance,22.515306,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,18.0,critical account,car (used),638.2671,<100 DM,unemployed,4.0,none,1.4709716,savings agreement/life insurance,44.73259,none,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
no account,4.0,existing credits paid back duly till now,education,934.7489,<100 DM,1<= < 4 years,4.0,none,1.0,car or other,75.0,bank,for free,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
0 <= <200 DM,72.0,existing credits paid back duly till now,business,18424.0,100 <= <500 DM,1<= < 4 years,4.0,none,4.0,car or other,28.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,18.476204,critical account,car (new),2094.8298,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,36.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
<0 DM,4.0,critical account,radio/television,250.0,<100 DM,>=7 years,4.0,none,4.0,real estate,35.37554,bank,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,4.0,critical account,retraining,1178.2512,<100 DM,>=7 years,4.0,none,2.0,real estate,50.95547,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,72.0,critical account,radio/television,3453.9304,<100 DM,unemployed,2.0,none,4.0,unknown / no property,75.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,24.0,critical account,furniture/equipment,1288.2677,no savings account,<1 years,4.0,none,2.0,unknown / no property,40.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,36.0,delay in paying off,radio/television,1525.0907,no savings account,1<= < 4 years,4.0,none,2.0,savings agreement/life insurance,33.0,store,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,5.408338,critical account,repairs,1687.3057,<100 DM,>=7 years,4.0,none,1.0,real estate,28.0,bank,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,72.0,existing credits paid back duly till now,car (used),1962.4797,<100 DM,1<= < 4 years,4.0,none,2.0,car or other,30.0,none,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,15.1886425,critical account,furniture/equipment,4199.181,no savings account,1<= < 4 years,4.0,none,3.0,savings agreement/life insurance,25.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,21.274294,existing credits paid back duly till now,radio/television,774.6996,<100 DM,4<= <7 years,3.0,none,3.0,car or other,43.36123,none,own,2.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,36.0,existing credits paid back duly till now,radio/television,1927.7311,>= 1000 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,22.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,12.0,critical account,car (new),2139.1606,<100 DM,>=7 years,2.0,none,2.0,real estate,34.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,72.0,existing credits paid back duly till now,business,5869.3687,no savings account,<1 years,4.0,none,4.0,car or other,43.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,15.891736,critical account,business,1970.3802,<100 DM,<1 years,4.0,co-applicant,3.0,savings agreement/life insurance,35.365364,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,24.0,delay in paying off,radio/television,1790.928,100 <= <500 DM,4<= <7 years,4.0,none,1.0,real estate,38.70142,none,own,2.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
<0 DM,18.0,critical account,business,6029.19,no savings account,unemployed,4.0,none,2.0,savings agreement/life insurance,29.0,none,for free,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,0
no account,12.0,existing credits paid back duly till now,domestic appliances,1951.3695,<100 DM,>=7 years,1.0,none,1.0,unknown / no property,75.0,none,own,2.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
>= 200 DM ,9.0,existing credits paid back duly till now,furniture/equipment,1043.1499,<100 DM,>=7 years,3.0,none,3.0,savings agreement/life insurance,26.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,40.936203,all credits at this bank paid back duly,radio/television,8074.6904,no savings account,<1 years,4.0,none,2.0,unknown / no property,50.598034,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,11232.025,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,38.929844,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,72.0,existing credits paid back duly till now,radio/television,3131.6562,<100 DM,>=7 years,4.0,none,3.0,savings agreement/life insurance,25.744854,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,12.0,critical account,furniture/equipment,378.14642,no savings account,1<= < 4 years,4.0,none,3.0,car or other,75.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
<0 DM,4.0,existing credits paid back duly till now,car (new),3095.8677,<100 DM,<1 years,3.0,none,3.0,car or other,39.0,none,rent,2.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,24.0,existing credits paid back duly till now,radio/television,12744.807,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,33.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
0 <= <200 DM,4.0,critical account,others,4001.4004,<100 DM,<1 years,1.0,none,4.0,car or other,39.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,4.0,critical account,furniture/equipment,1287.7401,100 <= <500 DM,4<= <7 years,3.0,none,2.0,car or other,28.0,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,10.0,critical account,car (new),1308.1427,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,32.493023,none,own,1.0,skilled employee / official,2.0,none,yes,male,divorced/separated,1
no account,4.2610435,existing credits paid back duly till now,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,2.0,savings agreement/life insurance,27.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
no account,4.0,existing credits paid back duly till now,radio/television,1946.8677,<100 DM,unemployed,3.0,none,2.0,car or other,26.50555,bank,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
no account,4.0,existing credits paid back duly till now,radio/television,250.0,no savings account,<1 years,4.0,none,4.0,real estate,44.817562,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,10.514046,existing credits paid back duly till now,business,1547.9806,<100 DM,<1 years,4.0,none,2.0,real estate,30.0,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
no account,9.0,critical account,radio/television,2477.0527,>= 1000 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,75.0,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,female,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,1386.8005,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,48.882225,none,own,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,1
no account,12.123541,critical account,car (used),1256.418,>= 1000 DM,1<= < 4 years,4.0,none,2.0,real estate,60.769382,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,4.0,critical account,car (used),2650.9968,<100 DM,<1 years,4.0,none,1.0,real estate,29.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,24.0,critical account,radio/television,3557.7612,<100 DM,1<= < 4 years,4.0,none,2.0,real estate,38.12421,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,radio/television,1294.1625,<100 DM,unemployed,4.0,none,4.0,car or other,33.0,none,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,9.289325,existing credits paid back duly till now,education,6494.067,<100 DM,unemployed,3.0,none,4.0,savings agreement/life insurance,75.0,none,rent,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,24.0,existing credits paid back duly till now,business,1323.4836,<100 DM,1<= < 4 years,4.0,none,2.0,unknown / no property,33.191612,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,12.0,delay in paying off,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,3.0,car or other,28.610037,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,12.0,critical account,car (new),957.70575,<100 DM,<1 years,4.0,none,4.0,car or other,75.0,bank,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,5.3718348,delay in paying off,radio/television,1935.4849,100 <= <500 DM,1<= < 4 years,4.0,none,4.0,real estate,30.572073,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,delay in paying off,business,11869.114,no savings account,>=7 years,1.0,none,2.0,unknown / no property,66.639015,none,own,4.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,23.404808,existing credits paid back duly till now,radio/television,2627.2446,<100 DM,>=7 years,4.0,none,2.0,car or other,36.99754,none,for free,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,24.0,critical account,repairs,9793.182,<100 DM,1<= < 4 years,1.0,none,4.0,car or other,27.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,24.0,existing credits paid back duly till now,radio/television,18424.0,<100 DM,4<= <7 years,4.0,none,1.0,car or other,31.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,6.7435303,existing credits paid back duly till now,furniture/equipment,2745.0344,<100 DM,>=7 years,1.0,none,1.0,unknown / no property,34.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
no account,27.63726,existing credits paid back duly till now,car (new),1540.6172,<100 DM,4<= <7 years,4.0,none,3.0,unknown / no property,44.538853,none,for free,1.0,management/ highly qualified employee,1.0,none,yes,male,married/widowed,0
<0 DM,6.0,critical account,car (new),5956.6094,<100 DM,<1 years,1.0,none,2.0,savings agreement/life insurance,31.0,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,0
no account,72.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,1<= < 4 years,1.0,none,4.0,real estate,75.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,4.0,critical account,business,250.0,no savings account,>=7 years,4.0,none,1.0,car or other,51.85626,none,own,2.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,0
no account,12.0,critical account,furniture/equipment,1455.7932,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,75.0,none,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
