One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,FOurteen,Fifteen
0,57,12,2,8,8,13,1,1,14,1,2,148,2294,1
1,45,4,2,1,4,4,1,1,1,0,2,316,1393,1
1,45,12,2,8,8,12,1,1,9,0,2,414,4584,1
1,43,9,2,8,8,12,1,1,10,0,2,313,9268,1
0,35,8,2,10,4,4,1,1,7,0,2,135,3285,1
1,43,11,2,8,2,8,1,1,11,0,2,268,5321,1
0,36,6,2,8,4,5,1,0,1,0,2,177,5050,1
0,53,9,2,11,8,10,1,1,7,1,2,438,7313,1
0,56,17,2,8,8,12,1,1,17,1,2,225,9514,1
1,38,15,2,3,2,10,1,1,12,0,1,187,5543,1
1,46,16,2,8,3,13,1,1,11,0,2,177,8145,1
0,42,6,3,6,4,9,1,1,6,0,1,136,4500,1
0,27,6,2,1,4,1,1,0,3,1,2,194,559,0
0,49,6,2,10,4,7,1,1,6,1,2,229,1065,1
1,37,12,2,10,4,10,1,1,8,0,2,99,3065,1
1,39,12,2,8,8,10,1,1,9,0,1,129,5425,1
1,40,4,2,13,3,5,1,1,2,1,2,415,3197,1
0,46,6,2,10,8,9,1,1,8,0,2,255,4588,1
0,29,10,2,14,3,4,1,1,5,1,2,171,2291,1
1,40,13,2,8,8,11,1,1,9,0,2,18,3870,1
1,55,9,3,8,2,10,1,1,11,0,3,453,5991,1
0,39,12,2,3,4,8,1,1,7,1,2,189,1042,1
1,47,8,2,11,8,7,1,1,7,0,2,260,542,1
1,23,16,2,8,8,4,1,1,3,1,2,37,2428,1
0,41,7,2,1,1,7,1,1,5,1,2,532,3126,1
0,47,15,2,8,4,10,1,1,14,1,2,222,3489,1
1,25,19,2,7,8,11,1,1,11,1,2,183,4831,1
0,47,15,2,8,8,11,1,1,11,1,2,242,4345,1
1,35,6,2,6,4,8,1,1,4,0,2,197,2085,1
1,24,5,3,8,4,3,0,0,2,0,2,7,2703,0
1,36,11,2,11,4,4,1,1,3,0,2,40,4102,1
0,33,6,2,3,4,2,1,1,0,1,2,227,3002,1
0,66,19,2,8,8,15,1,1,19,1,2,146,5358,1
1,32,9,2,8,4,6,0,1,6,0,2,21,1641,1
0,60,8,2,1,8,11,1,1,11,1,3,667,9706,1
1,37,9,2,1,8,8,1,1,5,1,2,515,4311,1
1,32,16,2,8,5,11,1,1,11,0,2,38,2964,1
1,36,6,2,11,8,6,1,1,2,1,1,567,7889,1
1,18,11,2,7,2,6,1,1,2,0,1,141,965,1
1,39,4,2,1,4,1,1,0,0,1,2,422,4642,0
0,52,15,2,8,8,8,1,1,9,1,2,249,4406,1
1,48,11,2,8,8,9,1,1,11,0,2,220,9883,1
1,55,12,2,14,8,9,1,1,8,1,2,366,7284,1
1,27,15,2,14,5,8,1,1,11,1,2,342,2113,1
0,48,8,2,1,8,10,1,1,10,1,2,552,2918,1
0,53,1,2,7,8,4,1,1,1,0,2,425,1403,1
0,49,8,2,1,3,4,1,1,5,1,2,379,4310,1
1,41,8,2,8,4,7,1,1,7,0,2,252,5447,1
0,49,11,2,8,9,10,1,1,16,1,2,296,5442,1
0,38,10,2,8,4,7,1,1,8,0,2,167,4406,1
1,38,4,2,7,8,6,1,1,2,0,2,407,2208,1
0,31,8,2,7,9,3,1,1,1,1,2,297,436,1
1,36,12,2,7,4,4,1,1,6,1,2,103,937,1
1,46,12,2,8,8,7,1,1,8,1,1,434,6087,1
1,24,8,1,12,4,3,1,0,0,1,2,200,1825,1
0,51,1,2,1,8,6,1,1,3,1,2,658,4147,1
1,35,4,2,1,5,3,1,1,0,0,2,431,2452,0
1,31,8,2,1,4,1,0,1,0,1,2,113,2420,0
0,41,9,2,11,4,8,1,0,9,0,2,9,5039,1
1,38,8,2,14,1,9,1,1,12,0,2,301,1814,1
1,50,10,2,8,2,13,1,1,12,0,2,289,2366,1
1,35,13,2,7,8,9,1,1,7,1,1,235,4398,1
0,58,5,2,1,8,5,1,1,4,1,2,511,5760,1
1,30,16,2,7,8,9,1,1,7,1,2,300,3732,1
1,38,5,2,12,5,7,1,1,3,0,1,373,3330,1
1,30,5,2,3,2,8,1,1,2,1,1,532,2200,1
0,50,15,2,5,8,11,1,1,12,0,2,166,5000,1
0,47,6,2,1,8,1,1,1,3,1,2,450,3942,1
1,20,13,2,7,4,6,1,1,4,1,1,206,13,1
0,49,7,2,7,8,6,1,1,7,0,2,362,5420,1
1,38,1,3,6,4,8,0,1,1,0,1,424,3586,1
0,36,14,2,1,8,3,1,1,2,1,2,253,4438,1
1,41,10,2,14,5,6,1,1,7,1,2,248,3087,1
0,31,9,2,10,4,2,1,1,3,1,2,82,929,1
0,59,6,2,3,4,9,1,1,7,0,2,317,2530,1
0,36,9,2,10,4,5,1,1,3,1,2,138,1384,1
0,49,9,2,1,2,10,1,1,9,1,2,423,3527,1
1,29,11,2,10,4,5,1,1,8,0,2,64,1995,0
1,42,8,2,1,4,5,1,0,3,1,2,266,5699,1
1,49,15,2,8,8,12,1,1,14,0,2,233,6576,1
0,66,25,2,7,8,19,1,1,27,1,2,69,6014,1
0,31,7,2,13,4,4,1,1,3,1,2,263,1358,1
1,34,17,2,4,5,15,1,1,16,0,1,189,4357,1
0,43,9,2,3,4,7,1,1,8,0,2,65,728,1
0,48,5,2,11,4,2,0,1,0,0,2,129,1419,1
1,27,9,2,3,4,7,1,1,4,1,2,172,285,1
1,38,9,2,8,8,11,1,1,12,0,1,339,4127,1
0,52,9,2,11,8,9,1,1,10,1,2,347,5566,1
1,44,14,2,7,4,6,1,1,8,1,2,71,67,1
1,32,6,2,7,2,9,1,1,3,1,1,761,5553,1
1,43,8,2,8,4,3,1,1,2,1,2,260,1941,1
0,42,11,2,7,8,11,1,1,12,1,2,395,3266,1
1,16,5,2,10,9,2,0,0,1,0,3,95,1459,0
1,40,5,1,8,4,0,0,1,1,1,2,390,1655,1
0,39,7,2,10,4,5,1,1,9,0,2,199,3329,1
0,50,8,1,1,4,2,0,1,6,1,2,339,4202,0
0,40,10,3,10,4,3,0,0,7,1,2,27,6020,0
1,52,11,2,8,4,6,1,1,9,1,2,238,3945,1
0,54,3,2,7,8,8,1,1,6,1,3,655,7799,1
1,29,16,2,14,5,7,1,1,10,1,2,93,3738,1
1,30,10,2,7,4,5,1,0,6,1,2,114,2074,1
0,44,4,2,10,4,4,0,1,4,0,3,160,3625,0
1,31,7,2,8,4,4,0,1,7,1,2,64,1445,0
0,34,11,2,7,8,5,1,1,6,1,2,211,1502,1
1,29,2,3,3,4,5,0,0,2,0,3,267,3881,0
0,47,9,2,14,8,8,1,1,9,1,2,404,1571,1
1,32,9,1,7,4,1,0,0,4,1,2,196,1816,1
1,45,5,3,10,4,8,1,1,8,0,3,195,4864,1
1,39,9,2,8,4,8,1,0,7,0,2,385,5384,1
0,33,14,2,14,5,3,1,1,4,1,2,201,2387,1
0,31,8,2,10,4,3,1,1,4,1,2,230,600,1
0,34,4,2,3,3,4,1,1,1,0,2,418,1926,1
1,33,3,2,3,4,5,0,1,5,0,2,133,1155,0
1,40,15,1,11,4,3,0,1,3,1,2,34,4165,1
1,31,17,2,7,5,8,1,1,7,1,2,26,4371,1
0,47,4,2,1,4,4,0,1,3,1,2,507,4830,1
0,34,8,2,8,9,10,1,1,10,0,2,209,2321,1
1,51,6,2,1,5,6,1,1,9,0,2,554,7730,1
0,40,4,2,1,4,3,1,1,4,1,2,261,816,0
0,43,7,2,1,4,2,0,1,5,1,2,295,635,0
1,45,11,2,7,4,6,1,1,5,1,2,195,937,1
1,29,15,2,8,4,8,1,1,13,0,2,236,5834,1
1,14,5,2,8,4,1,0,0,1,0,2,86,671,1
0,60,6,3,10,4,6,0,0,8,0,2,141,3251,0
1,30,11,2,7,5,4,1,1,4,1,2,314,2234,1
1,46,7,3,11,4,8,1,1,8,0,2,263,5633,1
1,19,10,2,13,9,6,1,0,5,1,2,163,4332,1
0,45,3,2,1,8,1,1,0,0,1,2,208,2818,1
1,32,11,2,8,5,3,1,1,4,0,2,227,6761,1
1,45,10,2,8,4,7,1,1,10,0,1,335,5177,1
1,41,3,2,1,3,2,0,1,1,0,2,491,5094,1
1,29,5,2,10,4,2,1,0,0,0,2,191,1205,0
1,18,10,2,7,4,2,1,1,4,1,2,119,3088,1
1,44,1,3,1,9,4,0,0,0,0,1,435,3357,1
0,43,5,2,3,8,1,1,1,3,1,2,310,142,1
1,35,6,2,1,5,1,1,1,1,1,2,538,3299,0
0,53,9,2,7,8,10,1,1,10,1,2,466,5263,1
0,47,3,2,1,4,2,1,1,3,1,2,411,1804,1
0,45,19,2,14,4,9,1,1,18,1,2,209,1393,1
1,34,11,2,11,5,6,1,1,6,1,2,164,3015,1
0,34,8,1,3,4,4,0,0,3,0,2,94,4101,0
0,39,10,2,7,4,1,1,1,6,1,2,193,1875,1
0,31,11,2,7,4,7,1,1,8,1,2,284,2437,1
0,40,4,2,1,4,3,0,1,1,1,2,283,820,0
1,43,5,1,8,3,0,0,1,0,0,2,201,3505,0
0,43,6,2,7,4,6,1,1,6,1,2,140,311,1
1,46,11,2,6,4,5,0,1,5,0,2,88,1949,1
0,43,0,3,3,4,2,0,0,1,1,2,295,1559,0
0,57,2,2,3,4,8,1,1,9,0,3,354,4749,1
1,32,10,2,4,2,9,1,1,7,1,2,339,1215,1
0,49,9,1,10,2,3,0,1,4,1,2,260,2532,1
0,34,9,2,3,8,4,1,1,4,1,2,281,1996,1
1,29,16,2,7,4,9,1,1,10,1,2,217,5417,1
1,35,10,2,14,5,5,1,1,7,1,2,473,6218,1
0,48,12,2,4,8,10,1,1,9,1,1,578,3732,1
1,28,9,1,7,2,3,1,0,0,1,2,371,3532,1
1,42,14,2,14,8,7,1,1,8,1,2,180,3934,1
1,44,8,2,7,4,6,1,1,6,0,2,326,2545,1
1,48,4,2,13,3,7,0,1,4,0,1,465,6449,1
0,49,12,2,14,8,8,1,1,11,1,2,517,8335,1
0,48,2,2,3,4,5,1,1,5,1,2,482,3586,1
0,39,12,2,4,8,8,1,1,6,1,2,393,5140,1
1,34,13,2,6,4,1,1,1,5,1,2,76,3833,1
1,52,7,2,1,8,5,1,1,3,0,1,365,4052,1
0,33,10,2,3,4,10,1,1,7,0,1,246,2997,1
0,47,7,2,3,4,6,0,1,5,0,2,339,4232,1
1,27,12,2,14,4,4,1,1,5,1,2,15,1441,1
1,24,9,2,7,8,1,1,0,0,1,2,379,2609,1
1,34,13,1,1,4,0,0,1,1,1,2,146,2388,0
1,31,10,3,11,4,6,1,1,5,0,2,77,3506,1
0,51,8,3,10,4,5,0,0,8,0,2,136,6937,0
0,66,13,2,1,4,9,1,1,14,1,2,415,6799,1
1,27,6,2,10,4,6,1,1,6,0,2,186,3560,1
0,36,8,3,10,4,3,0,0,2,0,2,67,2317,1
1,17,11,1,8,4,1,0,0,0,1,1,174,2700,1
0,45,9,2,13,4,11,1,1,9,0,2,175,333,1
1,31,8,3,8,4,2,0,1,0,0,1,203,3111,1
0,55,11,2,5,4,13,1,1,16,1,2,360,3112,1
1,33,8,2,1,5,2,1,1,2,1,2,308,4191,0
1,34,12,2,7,5,9,1,1,11,0,2,380,5293,1
1,30,6,3,12,4,5,0,0,0,0,2,45,365,1
0,51,8,1,7,4,5,1,1,7,1,2,357,3187,1
0,51,11,2,4,8,8,1,1,8,0,2,355,6303,1
1,38,10,2,7,4,10,1,1,8,0,1,328,7252,1
1,35,2,2,1,4,4,1,1,3,1,2,586,4105,1
0,55,11,1,4,4,8,1,1,9,1,2,227,4898,1
1,42,6,3,1,4,1,0,0,4,1,2,595,5578,0
1,30,10,3,12,4,7,0,0,4,0,1,132,3214,1
1,49,9,2,1,8,3,1,1,9,1,2,502,4128,1
1,34,11,2,10,4,2,1,1,6,1,2,66,2697,1
1,54,1,2,3,4,3,0,1,0,0,2,534,1879,0
1,20,8,2,3,4,3,1,1,0,0,1,53,68,1
1,29,0,3,3,4,3,0,0,1,0,1,422,1198,0
0,64,9,2,8,4,14,1,1,18,0,2,301,3927,1
0,43,7,3,10,4,9,0,1,11,0,2,2,1463,1
0,38,5,2,3,4,5,0,1,5,1,2,153,888,0
1,40,8,2,3,4,3,1,1,5,0,2,45,2473,1
0,37,11,2,14,4,3,1,1,2,1,2,110,2026,1
1,43,6,1,3,4,4,1,1,2,0,2,409,2166,1
1,36,6,3,1,2,3,0,0,1,0,3,456,7697,0
1,39,2,2,1,4,1,0,1,1,0,2,353,1962,1
0,42,6,2,7,8,4,1,1,2,1,2,467,890,1
1,32,9,2,14,2,5,1,1,6,0,2,404,977,1
1,40,5,2,10,4,0,0,1,4,0,2,255,1221,0
0,31,9,2,7,4,5,1,1,8,0,2,172,1394,1
1,36,10,2,8,4,5,0,1,6,0,2,108,7109,1
0,45,8,2,7,4,2,1,1,6,1,2,215,2423,1
1,20,13,2,7,8,2,1,1,1,1,2,174,1615,1
1,37,4,3,9,4,1,0,0,0,0,2,291,5140,0
